CET,Temperatura maksymalnaC,Temperatura średniaC,Temperatura minimalnaC, Mean Wilgotność, Max Ciśnienie na poziomie morzahPa, Mean Ciśnienie na poziomie morzahPa, Min Ciśnienie na poziomie morzahPa, Max Prędkość wiatruKm/h, Mean Prędkość wiatruKm/h, CloudCover
2005-5-27,28,18,8,56,1023,1020,1018,14,6,0
2005-5-28,30,20,10,54,1020,1019,1018,13,5,
2005-5-29,31,22,13,52,1019,1017,1016,19,8,1
2005-5-30,32,22,13,57,1016,1014,1011,47,10,3
2005-5-31,18,13,9,75,1021,1019,1014,37,19,5
2005-6-1,15,9,3,67,1021,1020,1019,32,13,4
2005-6-2,17,10,4,58,1021,1020,1018,19,6,4
2005-6-3,23,17,11,57,1018,1016,1014,19,10,5
2005-6-4,25,19,13,64,1015,1013,1011,34,11,6
2005-6-5,18,14,11,79,1015,1014,1013,23,14,5
2005-6-6,18,14,10,80,1017,1015,1014,26,11,5
2005-6-7,12,10,8,77,1023,1020,1017,24,13,6
2005-6-8,12,9,7,81,1027,1025,1023,29,13,6
2005-6-9,15,8,2,73,1027,1022,1018,27,14,6
2005-6-10,16,12,9,72,1016,1012,1010,26,19,6
2005-6-11,15,12,9,77,1010,1009,1009,27,16,6
2005-6-12,16,12,8,75,1012,1011,1010,13,5,6
2005-6-13,25,16,7,65,1012,1011,1009,21,10,4
2005-6-14,26,20,14,58,1015,1014,1013,14,8,5
2005-6-15,27,20,13,71,1018,1017,1015,19,6,6
2005-6-16,24,19,14,79,1023,1020,1018,21,8,5
2005-6-17,25,18,12,72,1023,1022,1020,21,10,5
2005-6-18,19,17,14,74,1020,1019,1017,37,21,5
2005-6-19,22,16,10,70,1021,1019,1017,27,14,4
2005-6-20,23,17,12,62,1019,1018,1017,21,11,1
2005-6-21,24,14,6,57,1019,1019,1017,19,6,0
2005-6-22,23,17,10,73,1019,1017,1016,24,8,6
2005-6-23,21,16,12,66,1022,1021,1019,23,11,4
2005-6-24,25,16,7,60,1022,1021,1018,14,5,0
2005-6-25,29,20,11,58,1018,1016,1013,26,11,6
2005-6-26,21,18,15,81,1022,1019,1014,23,13,5
2005-6-27,24,16,7,64,1022,1020,1017,19,5,2
2005-6-28,25,17,9,54,1017,1015,1012,27,10,
2005-6-29,25,16,6,53,1012,1009,1007,24,11,0
2005-6-30,22,16,11,57,1010,1009,1008,14,10,6
2005-7-1,20,17,13,81,1012,1010,1010,14,8,6
2005-7-2,25,20,15,62,1019,1015,1012,26,8,6
2005-7-3,25,17,8,53,1020,1019,1018,23,8,1
2005-7-4,27,17,7,49,1019,1015,1011,13,5,
2005-7-5,27,20,13,63,1012,1010,1008,34,11,6
2005-7-6,13,12,11,96,1011,1010,1009,148,18,7
2005-7-7,22,16,11,75,1014,1012,1011,11,5,5
2005-7-8,26,17,8,68,1017,1015,1014,23,5,2
2005-7-9,23,18,13,83,1017,1017,1016,16,8,5
2005-7-10,19,17,15,90,1020,1017,1016,16,8,6
2005-7-11,23,19,15,83,1023,1021,1020,34,13,6
2005-7-12,26,19,13,58,1024,1023,1022,29,14,3
2005-7-13,27,18,10,71,1022,1020,1018,26,6,6
2005-7-14,26,19,12,77,1020,1019,1018,24,5,3
2005-7-15,27,18,9,65,1021,1018,1015,24,6,3
2005-7-16,26,21,16,71,1014,1013,1011,29,8,4
2005-7-17,22,17,13,71,1015,1013,1012,23,8,4
2005-7-18,27,17,8,62,1015,1012,1009,14,5,1
2005-7-19,22,19,16,87,1015,1010,1007,24,11,6
2005-7-20,21,18,15,67,1019,1017,1014,24,16,5
2005-7-21,19,16,12,67,1014,1012,1008,34,18,6
2005-7-22,18,16,13,86,1008,1006,1005,23,19,6
2005-7-23,19,16,13,80,1010,1009,1008,26,13,6
2005-7-24,21,16,11,70,1012,1011,1009,19,6,5
2005-7-25,24,16,8,79,1012,1010,1008,23,6,5
2005-7-26,25,21,17,70,1013,1010,1008,24,13,4
2005-7-27,27,20,14,63,1016,1015,1013,14,5,3
2005-7-28,32,23,15,63,1016,1016,1015,16,8,1
2005-7-29,33,26,19,64,1017,1015,1013,26,8,1
2005-7-30,33,26,18,62,1013,1012,1011,35,11,3
2005-7-31,22,19,17,88,1015,1013,1010,27,13,6
2005-8-1,26,21,15,73,1017,1016,1014,14,6,6
2005-8-2,25,18,11,64,1020,1019,1018,14,5,2
2005-8-3,27,21,15,75,1018,1015,1013,23,10,6
2005-8-4,19,17,14,92,1020,1016,1013,27,16,7
2005-8-5,16,13,9,83,1021,1020,1018,11,8,5
2005-8-6,16,10,5,87,1018,1013,1011,14,5,4
2005-8-7,18,13,8,85,1012,1010,1009,27,6,4
2005-8-8,15,11,7,85,1011,1010,1009,23,10,5
2005-8-9,18,13,9,74,1011,1010,1009,34,16,5
2005-8-10,21,16,10,62,1011,1010,1009,29,18,4
2005-8-11,17,13,10,82,1013,1011,1010,23,11,5
2005-8-12,20,14,8,74,1014,1014,1013,16,5,5
2005-8-13,20,14,8,80,1018,1015,1013,24,6,4
2005-8-14,18,14,10,74,1018,1016,1014,10,6,6
2005-8-15,20,14,8,80,1015,1014,1013,19,8,6
2005-8-16,19,16,13,86,1017,1015,1014,16,14,6
2005-8-17,23,18,14,75,1021,1019,1017,37,13,5
2005-8-18,24,17,11,73,1021,1019,1018,23,8,3
2005-8-19,23,18,13,79,1018,1017,1017,27,11,2
2005-8-20,25,19,14,70,1019,1018,1017,27,13,0
2005-8-21,25,18,10,74,1017,1015,1014,21,11,1
2005-8-22,25,19,13,74,1014,1011,1010,19,13,5
2005-8-23,19,17,16,93,1010,1009,1008,11,5,7
2005-8-24,20,18,15,93,1012,1010,1008,13,6,6
2005-8-25,22,18,15,85,1012,1011,1010,11,6,5
2005-8-26,22,17,11,71,1020,1015,1010,37,11,5
2005-8-27,21,14,8,70,1021,1020,1020,11,5,2
2005-8-28,22,16,10,73,1024,1021,1020,148,8,6
2005-8-29,25,16,7,71,1027,1026,1024,8,2,2
2005-8-30,27,18,9,71,1027,1026,1025,11,2,0
2005-8-31,26,18,10,73,1025,1023,1021,14,3,0
2005-9-1,23,16,9,63,1022,1021,1020,21,13,
2005-9-2,21,13,6,67,1027,1024,1022,21,10,
2005-9-3,22,13,5,71,1029,1028,1027,14,6,2
2005-9-4,22,14,8,69,1029,1028,1026,14,3,3
2005-9-5,24,14,5,72,1026,1023,1021,10,3,0
2005-9-6,25,16,6,68,1021,1020,1018,11,6,0
2005-9-7,25,17,9,61,1019,1018,1017,19,10,0
2005-9-8,26,18,10,62,1020,1019,1019,21,10,1
2005-9-9,28,21,15,61,1019,1016,1013,19,10,
2005-9-10,26,21,16,67,1013,1012,1011,14,8,5
2005-9-11,24,18,13,84,1011,1010,1010,74,6,4
2005-9-12,23,18,14,84,1015,1012,1010,32,10,5
2005-9-13,17,12,8,89,1024,1021,1016,16,10,5
2005-9-14,19,11,4,82,1024,1021,1018,14,5,3
2005-9-15,21,17,14,75,1017,1015,1011,29,14,5
2005-9-16,19,16,12,87,1011,1004,1000,29,16,6
2005-9-17,12,10,8,88,1021,1013,1006,21,13,6
2005-9-18,15,9,4,74,1027,1025,1021,23,11,1
2005-9-19,15,8,0,73,1028,1026,1024,32,10,0
2005-9-20,16,9,2,68,1024,1023,1022,27,11,
2005-9-21,17,9,2,71,1025,1024,1023,23,6,0
2005-9-22,19,10,1,72,1024,1024,1023,23,8,0
2005-9-23,20,11,3,71,1024,1021,1020,23,11,0
2005-9-24,21,12,3,77,1020,1020,1019,11,5,0
2005-9-25,22,13,5,77,1019,1019,1018,11,5,1
2005-9-26,21,13,6,79,1023,1021,1019,13,3,1
2005-9-27,21,14,8,79,1023,1022,1021,23,5,2
2005-9-28,19,14,9,75,1021,1020,1019,19,8,3
2005-9-29,15,13,11,90,1020,1017,1014,13,8,6
2005-9-30,12,10,8,88,1022,1019,1014,23,13,6
2005-10-1,11,9,8,88,1022,1019,1016,10,5,6
2005-10-2,17,11,6,88,1021,1017,1016,10,6,6
2005-10-3,17,13,9,88,1027,1024,1021,11,2,6
2005-10-4,19,14,9,89,1029,1028,1027,21,8,5
2005-10-5,20,16,11,80,1029,1029,1028,23,14,4
2005-10-6,18,12,7,89,1030,1029,1028,19,10,3
2005-10-7,20,11,3,85,1030,1029,1028,16,10,1
2005-10-8,20,12,4,79,1028,1027,1025,19,6,1
2005-10-9,18,10,2,76,1029,1027,1025,13,5,0
2005-10-10,19,10,1,80,1031,1029,1029,16,5,0
2005-10-11,18,10,2,78,1029,1028,1028,19,8,0
2005-10-12,17,8,0,77,1028,1026,1024,21,6,2
2005-10-13,11,7,4,90,1023,1022,1021,13,8,5
2005-10-14,11,6,2,92,1029,1026,1022,8,5,5
2005-10-15,14,7,1,88,1029,1028,1026,21,6,4
2005-10-16,20,10,1,90,1027,1025,1024,23,10,4
2005-10-17,7,4,3,87,1026,1026,1025,23,11,5
2005-10-18,6,3,1,86,1026,1026,1025,14,8,6
2005-10-19,12,4,-3,80,1026,1024,1022,10,5,1
2005-10-20,14,6,-3,74,1022,1018,1016,93,6,2
2005-10-21,15,11,7,72,1015,1014,1011,13,10,5
2005-10-22,17,13,10,79,1011,1010,1009,27,13,3
2005-10-23,17,13,10,82,1014,1012,1011,23,13,3
2005-10-24,12,10,8,84,1021,1019,1014,26,11,5
2005-10-25,17,13,9,74,1019,1016,1013,29,13,5
2005-10-26,17,13,9,68,1020,1016,1013,39,21,5
2005-10-27,16,10,4,80,1026,1024,1020,21,13,2
2005-10-28,11,6,1,78,1030,1028,1027,24,11,0
2005-10-29,9,4,-1,70,1029,1028,1026,26,18,
2005-10-30,12,3,-5,73,1027,1026,1024,11,6,0
2005-10-31,11,3,-5,82,1025,1024,1023,10,5,0
2005-11-1,15,6,-4,62,1023,1021,1020,14,6,0
2005-11-2,11,4,-1,75,1023,1022,1021,8,5,5
2005-11-3,13,6,-1,75,1024,1023,1021,14,6,5
2005-11-4,15,9,3,73,1023,1021,1020,14,6,4
2005-11-5,13,7,1,86,1028,1022,1019,14,6,6
2005-11-6,9,6,2,98,1031,1030,1028,11,5,5
2005-11-7,10,8,6,94,1028,1026,1025,16,6,5
2005-11-8,11,9,6,80,1031,1029,1028,13,6,6
2005-11-9,12,6,-1,89,1028,1026,1025,13,6,0
2005-11-10,8,2,-4,95,1031,1029,1027,19,8,3
2005-11-11,11,8,6,85,1031,1028,1025,16,10,6
2005-11-12,10,6,2,83,1025,1022,1021,14,10,4
2005-11-13,5,3,2,89,1026,1024,1022,14,8,6
2005-11-14,6,4,3,82,1027,1025,1020,23,14,6
2005-11-15,7,4,3,81,1020,1009,1002,34,16,3
2005-11-16,6,3,2,90,1001,997,994,23,14,6
2005-11-17,3,0,-2,91,1009,1002,995,32,16,5
2005-11-18,0,-2,-4,95,1018,1014,1009,19,6,6
2005-11-19,-1,-2,-2,95,1023,1021,1018,16,10,6
2005-11-20,0,-1,-2,92,1023,1022,1019,16,10,5
2005-11-21,0,-2,-3,96,1025,1021,1019,19,8,6
2005-11-22,-2,-3,-3,96,1033,1028,1024,19,13,6
2005-11-23,-1,-3,-6,93,1033,1032,1028,14,5,6
2005-11-24,-5,-6,-7,91,1027,1016,1006,13,10,6
2005-11-25,1,-2,-5,88,1005,998,994,19,8,4
2005-11-26,2,0,-2,98,1001,1000,997,14,10,6
2005-11-27,4,2,0,98,996,995,993,14,10,6
2005-11-28,1,-1,-3,92,1003,999,994,23,13,4
2005-11-29,2,0,-2,88,1010,1008,1004,23,13,4
2005-11-30,0,-3,-6,98,1014,1011,1008,11,5,5
2005-12-1,1,-3,-7,97,1017,1016,1014,21,5,5
2005-12-2,-1,-3,-5,92,1014,1011,1009,23,14,6
2005-12-3,2,-2,-5,96,1009,1006,1004,14,10,6
2005-12-4,6,2,-1,88,1007,1006,1004,14,8,4
2005-12-5,6,2,-1,89,1004,1003,1002,14,8,4
2005-12-6,4,1,-1,98,1005,1002,997,19,8,6
2005-12-7,1,0,0,100,1010,1004,998,148,29,7
2005-12-8,2,1,1,99,1018,1013,1010,29,21,6
2005-12-9,1,-1,-3,91,1037,1029,1018,21,14,6
2005-12-10,-2,-4,-7,90,1040,1039,1037,11,6,6
2005-12-11,0,-2,-3,84,1039,1035,1032,23,11,6
2005-12-12,2,0,-1,91,1032,1027,1011,19,13,7
2005-12-13,2,1,0,96,1028,1027,1025,19,10,6
2005-12-14,2,1,0,97,1024,1020,1018,14,10,6
2005-12-15,3,2,1,92,1018,1005,997,29,19,6
2005-12-16,2,1,0,95,997,984,973,52,27,6
2005-12-17,0,-2,-3,92,1002,993,985,45,27,6
2005-12-18,-2,-3,-4,90,1009,1006,1002,27,21,6
2005-12-19,7,0,-6,87,1019,1017,1009,29,16,5
2005-12-20,1,-2,-5,97,1018,1015,1012,35,14,6
2005-12-21,0,-2,-5,96,1029,1026,1015,27,18,6
2005-12-22,1,-1,-3,97,1026,1020,1017,23,14,6
2005-12-23,1,0,0,100,1022,1021,1019,14,10,6
2005-12-24,3,1,0,98,1020,1014,1011,23,14,6
2005-12-25,3,1,-1,92,1014,1012,1010,26,18,6
2005-12-26,0,-3,-6,87,1013,1011,1010,14,10,5
2005-12-27,-3,-7,-9,94,1013,1011,1007,26,13,5
2005-12-28,-3,-3,-3,99,1007,1003,1000,19,14,6
2005-12-29,-3,-6,-8,91,1019,1011,1000,21,11,5
2005-12-30,-4,-6,-7,95,1018,1011,1006,29,16,7
2005-12-31,-1,-4,-7,87,1007,1005,1004,29,19,6
2006-1-1,3,0,-2,90,1009,1008,1006,10,6,6
2006-1-2,1,0,0,100,1015,1012,1010,11,6,7
2006-1-3,0,-1,-1,100,1023,1019,1016,11,10,7
2006-1-4,1,0,-1,99,1028,1026,1023,21,8,7
2006-1-5,0,-2,-4,95,1028,1026,1025,34,26,6
2006-1-6,-3,-4,-4,97,1028,1026,1025,24,21,6
2006-1-7,9,0,-9,77,1034,1032,1028,23,14,3
2006-1-8,-4,-11,-17,87,1036,1035,1034,24,8,0
2006-1-9,-2,-10,-18,86,1035,1033,1032,13,5,0
2006-1-10,1,-7,-14,90,1032,1030,1029,11,5,0
2006-1-11,1,-7,-15,89,1030,1028,1027,10,3,1
2006-1-12,-2,-9,-16,95,1036,1032,1028,10,3,4
2006-1-13,-2,-3,-5,99,1037,1036,1036,10,5,7
2006-1-14,-5,-6,-6,100,1035,1034,1033,8,5,7
2006-1-15,8,-2,-11,78,1033,1032,1029,10,5,2
2006-1-16,-4,-9,-14,91,1029,1025,1022,10,6,0
2006-1-17,-3,-7,-9,89,1021,1015,1007,19,11,4
2006-1-18,-1,-4,-8,96,1008,1002,999,26,10,6
2006-1-19,-6,-7,-9,93,1025,1020,1009,23,18,6
2006-1-20,-7,-10,-12,93,1025,1021,1014,37,10,6
2006-1-21,1,-4,-11,98,1019,1013,1010,26,18,6
2006-1-22,-11,-18,-25,83,1041,1033,1019,26,16,3
2006-1-23,-18,-23,-29,77,1045,1044,1041,16,5,0
2006-1-24,-9,-18,-26,72,1044,1040,1034,14,6,0
2006-1-25,-8,-13,-17,67,1034,1024,1018,14,8,0
2006-1-26,-6,-12,-18,75,1025,1022,1019,8,5,
2006-1-27,-3,-12,-20,75,1027,1026,1025,10,3,0
2006-1-28,-3,-12,-22,77,1029,1028,1027,8,2,0
2006-1-29,-2,-11,-21,82,1031,1030,1029,13,5,4
2006-1-30,-3,-9,-15,91,1030,1027,1022,19,6,5
2006-1-31,-1,-3,-5,98,1022,1021,1020,23,18,6
2006-2-1,-2,-4,-7,94,1022,1019,1017,21,16,5
2006-2-2,-5,-7,-9,95,1017,1016,1015,14,11,6
2006-2-3,-3,-4,-6,97,1017,1015,1015,16,11,6
2006-2-4,-3,-8,-13,93,1028,1020,1017,32,14,6
2006-2-5,-7,-15,-23,85,1030,1028,1026,13,3,2
2006-2-6,-4,-12,-20,88,1027,1026,1021,13,5,5
2006-2-7,-1,-7,-12,90,1021,1010,1005,34,21,6
2006-2-8,2,0,-1,96,1005,1002,999,21,16,6
2006-2-9,2,0,-2,93,1002,1000,998,19,14,6
2006-2-10,0,-2,-4,93,1012,1006,1002,13,8,6
2006-2-11,-2,-3,-5,94,1021,1018,1013,23,14,6
2006-2-12,-2,-3,-5,94,1022,1021,1020,130,19,6
2006-2-13,-3,-4,-5,98,1021,1020,1020,16,11,6
2006-2-14,-1,-3,-4,95,1021,1020,1020,11,6,6
2006-2-15,0,-2,-3,80,1020,1012,1004,16,10,5
2006-2-16,2,0,-2,94,1003,996,994,11,8,6
2006-2-17,4,1,-1,94,1000,995,994,13,10,6
2006-2-18,7,3,1,79,1005,1004,1001,14,10,5
2006-2-19,6,1,-3,87,1008,1006,1005,21,10,4
2006-2-20,7,2,-3,81,1007,1006,1005,11,8,5
2006-2-21,6,3,0,95,1015,1010,1006,26,10,6
2006-2-22,0,-1,-3,97,1021,1019,1016,19,14,6
2006-2-23,-1,-3,-4,85,1024,1022,1020,23,11,5
2006-2-24,1,-3,-6,80,1026,1024,1022,40,21,3
2006-2-25,-1,-3,-5,80,1022,1016,1012,26,21,4
2006-2-26,-3,-7,-10,88,1012,1011,1010,19,10,6
2006-2-27,-4,-9,-13,87,1014,1013,1011,16,6,4
2006-2-28,-2,-7,-11,65,1014,1008,1002,14,6,0
2006-3-1,-1,-6,-11,80,1003,1000,999,24,11,6
2006-3-2,5,-1,-6,65,1004,1003,1002,21,13,2
2006-3-3,2,-2,-6,73,1004,1001,993,23,11,4
2006-3-4,2,-1,-4,93,998,994,989,24,14,6
2006-3-5,0,-4,-9,86,1006,1001,998,14,5,3
2006-3-6,-1,-7,-13,76,1011,1009,1006,23,10,3
2006-3-7,0,-8,-15,81,1016,1013,1011,32,6,5
2006-3-8,8,-3,-15,76,1017,1015,1009,19,5,0
2006-3-9,0,-4,-8,82,1008,1002,997,16,11,4
2006-3-10,2,1,0,94,1001,1000,996,19,11,6
2006-3-11,2,0,-3,91,1006,1003,999,121,11,6
2006-3-12,-3,-6,-9,82,1027,1017,1007,19,14,6
2006-3-13,-4,-8,-12,82,1029,1028,1026,23,13,6
2006-3-14,-3,-4,-6,90,1027,1024,1023,24,14,6
2006-3-15,1,-2,-4,88,1023,1021,1020,13,8,6
2006-3-16,0,-1,-2,96,1022,1021,1021,14,8,6
2006-3-17,0,-1,-1,95,1021,1020,1020,13,10,6
2006-3-18,1,0,-1,96,1020,1018,1016,13,8,6
2006-3-19,4,0,-4,88,1016,1011,1008,21,13,5
2006-3-20,2,-2,-5,88,1010,1008,1006,19,13,5
