CEST,Temperatura maksymalnaC,Temperatura średniaC,Temperatura minimalnaC, Mean Wilgotność, Mean Ciśnienie na poziomie morzahPa, Mean Prędkość wiatruKm/h,Opadymm
2012-5-1,29,19,9,52,1016,5,0.00
2012-5-2,28,20,11,62,1014,6,0.00
2012-5-3,26,17,8,67,1008,6,0.00
2012-5-4,18,16,14,92,1005,8,0.00
2012-5-5,23,16,9,66,1005,8,0.00
2012-5-6,19,13,8,79,1008,13,0.00
2012-5-7,9,7,6,93,1016,11,0.00
2012-5-8,16,8,0,76,1020,6,0.00
2012-5-9,22,11,1,65,1020,6,0.00
2012-5-10,26,17,8,62,1023,6,0.00
2012-5-11,27,19,12,53,1023,10,0.00
2012-5-12,20,13,6,82,1022,11,0.00
2012-5-13,9,4,0,82,1026,10,0.00
2012-5-14,14,8,3,71,1021,11,0.00
2012-5-15,12,8,5,80,1011,10,0.00
2012-5-16,12,9,7,78,1011,18,0.00
2012-5-17,12,8,1,61,1017,23,0.00
2012-5-18,16,6,-4,63,1019,6,0.00
2012-5-19,22,12,2,63,1017,8,0.00
2012-5-20,27,17,7,61,1013,10,0.00
2012-5-21,28,19,10,56,1009,10,0.00
2012-5-22,28,20,13,56,1008,14,0.00
2012-5-23,28,21,14,50,1015,16,0.00
2012-5-24,21,16,12,66,1021,13,0.00
2012-5-25,19,13,8,54,1023,14,0.00
2012-5-26,21,12,3,54,1021,8,0.00
2012-5-27,21,12,3,57,1019,5,0.00
2012-5-28,19,13,8,75,1013,5,0.00
2012-5-29,24,14,5,61,1010,8,0.00
2012-5-30,20,16,11,53,1014,13,0.00
2012-5-31,18,13,9,64,1016,11,0.00
2012-6-1,16,13,9,83,1008,16,0.00
2012-6-2,16,11,7,60,1013,21,0.00
2012-6-3,20,11,3,70,1010,5,0.00
2012-6-4,19,16,13,88,1008,13,0.00
2012-6-5,16,13,10,94,1011,5,0.00
2012-6-6,17,13,9,75,1013,10,0.00
2012-6-7,22,17,13,65,1009,8,0.00
2012-6-8,25,19,13,66,1008,11,0.00
2012-6-9,20,18,13,83,1014,11,0.00
2012-6-10,22,16,10,85,1010,5,0.00
2012-6-11,17,14,12,89,1005,11,0.00
2012-6-12,20,14,9,86,1003,6,0.00
2012-6-13,20,17,14,93,1005,11,0.00
2012-6-14,16,13,11,95,1016,11,0.00
2012-6-15,20,15,10,74,1021,8,0.00
2012-6-16,30,20,11,57,1020,10,0.00
2012-6-17,28,22,17,62,1021,10,0.00
2012-6-18,31,22,14,65,1020,6,0.00
2012-6-19,27,22,18,65,1019,8,0.00
2012-6-20,30,22,14,70,1015,13,0.00
2012-6-21,27,22,18,81,1010,10,0.00
2012-6-22,21,18,16,87,1016,10,0.00
2012-6-23,23,17,12,67,1022,6,0.00
2012-6-24,26,17,8,61,1018,5,0.00
2012-6-25,22,18,14,65,1012,16,0.00
2012-6-26,18,14,11,70,1016,23,0.00
2012-6-27,22,16,11,63,1018,16,0.00
2012-6-28,21,17,13,83,1015,6,0.00
2012-6-29,28,19,10,68,1015,5,0.00
2012-6-30,32,23,14,63,1015,8,0.00
2012-7-1,33,26,19,65,1015,11,0.00
2012-7-2,26,22,18,85,1020,13,0.00
2012-7-3,32,24,18,76,1017,11,0.00
2012-7-4,27,21,16,82,1015,10,0.00
2012-7-5,32,23,15,67,1013,8,0.00
2012-7-6,33,26,19,59,1012,8,0.00
2012-7-7,31,23,16,66,1012,6,0.00
2012-7-8,28,22,17,85,1012,10,0.00
2012-7-9,26,20,15,71,1013,10,0.00
2012-7-10,27,20,13,64,1014,3,0.00
2012-7-11,27,21,15,73,1013,8,0.00
2012-7-12,23,18,12,72,1013,10,0.00
2012-7-13,18,14,10,75,1014,10,0.00
2012-7-14,23,18,13,76,1009,14,0.00
2012-7-15,22,18,14,74,1012,13,0.00
2012-7-16,19,16,12,82,1019,13,0.00
2012-7-17,17,14,12,89,1018,14,0.00
2012-7-18,20,16,11,82,1016,13,0.00
2012-7-19,26,21,16,65,1009,16,0.00
2012-7-20,21,17,14,66,1013,13,0.00
2012-7-21,19,16,13,76,1017,6,0.00
2012-7-22,20,13,7,66,1023,6,0.00
2012-7-23,24,14,6,62,1028,6,0.00
2012-7-24,27,18,10,61,1023,14,0.00
2012-7-25,22,18,15,87,1017,10,0.00
2012-7-26,26,21,17,91,1015,5,0.00
2012-7-27,27,21,15,84,1015,3,0.00
2012-7-28,32,23,15,67,1011,6,0.00
2012-7-29,27,22,17,78,1011,10,0.00
2012-7-30,24,18,13,68,1017,11,0.00
2012-7-31,27,17,8,60,1019,3,0.00
2012-8-1,27,19,11,62,1018,5,0.00
2012-8-2,30,22,14,58,1016,8,0.00
2012-8-3,28,21,15,69,1015,8,0.00
2012-8-4,27,20,14,74,1016,3,0.00
2012-8-5,27,21,15,77,1013,6,0.00
2012-8-6,33,24,16,60,1011,10,0.00
2012-8-7,24,19,15,69,1018,21,0.00
2012-8-8,23,17,12,66,1022,10,0.00
2012-8-9,22,16,9,76,1022,6,0.00
2012-8-10,21,16,12,71,1021,11,0.00
2012-8-11,17,13,11,89,1019,6,0.00
2012-8-12,19,14,10,81,1018,8,0.00
2012-8-13,20,13,6,70,1017,5,0.00
2012-8-14,20,15,10,82,1014,11,0.00
2012-8-15,19,14,11,79,1015,13,0.00
2012-8-16,22,14,7,81,1017,3,0.00
2012-8-17,22,17,12,85,1021,3,0.00
2012-8-18,25,17,8,73,1024,2,0.00
2012-8-19,29,19,9,64,1023,3,0.00
2012-8-20,34,24,14,48,1019,10,0.00
2012-8-21,28,23,17,66,1019,10,0.00
2012-8-22,29,22,16,69,1015,8,0.00
2012-8-23,27,21,15,67,1015,6,0.00
2012-8-24,30,23,16,66,1011,11,0.00
2012-8-25,24,21,18,75,1011,16,0.00
2012-8-26,19,17,15,88,1011,8,0.00
2012-8-27,19,13,7,75,1017,14,0.00
2012-8-28,22,12,2,69,1021,3,0.00
2012-8-29,24,16,8,73,1020,5,0.00
2012-8-30,28,18,9,63,1019,5,0.00
2012-8-31,24,19,15,73,1015,13,0.00
2012-9-1,17,16,14,96,1021,8,0.00
2012-9-2,20,15,10,87,1025,6,0.00
2012-9-3,23,16,9,86,1022,3,0.00
2012-9-4,24,19,12,68,1021,6,0.00
2012-9-5,23,14,7,73,1018,3,0.00
2012-9-6,18,13,9,75,1021,11,0.00
2012-9-7,19,10,2,68,1021,10,0.00
2012-9-8,19,16,13,85,1020,14,0.00
2012-9-9,23,18,13,76,1021,11,0.00
2012-9-10,28,19,10,64,1019,10,0.00
2012-9-11,29,20,12,51,1016,8,0.00
2012-9-12,22,17,12,70,1010,10,0.00
2012-9-13,11,10,9,95,1011,16,0.00
2012-9-14,16,12,9,86,1014,6,0.00
2012-9-15,16,13,10,80,1013,13,0.00
2012-9-16,18,14,10,83,1019,8,0.00
2012-9-17,21,13,5,75,1017,6,0.00
2012-9-18,23,16,8,73,1014,6,0.00
2012-9-19,17,13,10,90,1013,10,0.00
2012-9-20,14,8,2,83,1021,8,0.00
2012-9-21,15,7,-2,75,1022,3,0.00
2012-9-22,16,11,6,77,1013,13,0.00
2012-9-23,14,9,3,72,1017,16,0.00
2012-9-24,22,12,2,71,1007,8,0.00
2012-9-25,20,14,9,76,1006,10,0.00
2012-9-26,24,18,12,69,1007,11,0.00
2012-9-27,23,18,12,75,1008,11,0.00
2012-9-28,17,11,6,79,1018,13,0.00
2012-9-29,22,13,5,72,1017,8,0.00
2012-9-30,16,10,4,78,1021,11,0.00
2012-10-1,21,12,3,78,1019,10,0.00
2012-10-2,17,13,10,85,1017,5,0.00
2012-10-3,18,14,11,86,1016,5,0.00
2012-10-4,22,13,6,67,1013,10,0.00
2012-10-5,15,10,7,70,1016,19,0.00
2012-10-6,22,18,14,64,1012,21,0.00
2012-10-7,14,10,6,95,1013,13,0.00
2012-10-8,10,8,6,84,1017,18,0.00
2012-10-9,13,7,1,76,1010,13,0.00
2012-10-10,10,7,3,80,1012,16,0.00
2012-10-11,10,4,-2,87,1014,13,0.00
2012-10-12,13,4,-3,74,1014,6,0.00
2012-10-13,13,8,3,79,1014,8,0.00
2012-10-14,15,11,8,86,1008,8,0.00
2012-10-15,18,14,10,77,1005,10,0.00
2012-10-16,13,10,8,95,1010,13,0.00
2012-10-17,14,10,6,84,1017,13,0.00
2012-10-18,20,11,3,78,1020,6,0.00
2012-10-19,20,11,3,82,1020,6,0.00
2012-10-20,21,11,1,87,1019,3,0.00
2012-10-21,20,10,1,86,1020,2,0.00
2012-10-22,19,10,1,92,1023,3,0.00
2012-10-23,11,9,7,97,1025,6,0.00
2012-10-24,10,8,6,88,1020,10,0.00
2012-10-25,10,8,6,95,1011,8,0.00
2012-10-26,8,4,2,82,1009,19,0.00
2012-10-27,2,0,-1,100,995,18,0.00
2012-10-28,1,0,-1,99,1007,14,0.00
2012-10-29,0,-2,-3,99,1012,10,0.00
2012-10-30,2,0,-2,95,1006,10,0.00
2012-10-31,9,6,2,86,1009,11,0.00
2012-11-1,9,4,1,88,999,13,0.00
2012-11-2,11,7,4,90,1004,11,0.00
2012-11-3,11,7,3,81,1007,10,0.00
2012-11-4,12,7,3,90,1006,6,0.00
2012-11-5,10,8,6,95,999,11,0.00
2012-11-6,6,4,2,85,1010,18,0.00
2012-11-7,7,3,1,97,1016,19,0.00
2012-11-8,9,8,6,86,1018,19,0.00
2012-11-9,7,3,1,98,1017,10,0.00
2012-11-10,11,6,1,81,1015,10,0.00
2012-11-11,17,11,5,61,1012,6,0.00
2012-11-12,11,7,4,91,1023,10,0.00
2012-11-13,7,4,1,93,1032,3,0.00
2012-11-14,7,1,-4,89,1033,8,0.00
2012-11-15,8,1,-5,92,1026,5,0.00
2012-11-16,8,2,-4,95,1023,6,0.00
2012-11-17,10,3,-4,92,1017,6,0.00
2012-11-18,10,6,2,90,1015,10,0.00
2012-11-19,7,4,2,94,1020,6,0.00
2012-11-20,9,6,3,96,1023,10,0.00
2012-11-21,4,3,2,100,1023,10,0.00
2012-11-22,9,7,4,97,1024,6,0.00
2012-11-23,8,7,5,99,1023,6,0.00
2012-11-24,8,4,2,93,1021,8,0.00
2012-11-25,9,6,3,92,1018,10,0.00
2012-11-26,9,7,4,92,1014,11,0.00
2012-11-27,12,9,6,85,1007,6,0.00
2012-11-28,13,8,3,88,1002,6,0.00
2012-11-29,12,7,3,88,991,11,0.00
2012-11-30,19,9,0,94,1001,21,0.00
2012-12-1,1,-3,-6,96,1013,8,0.00
2012-12-2,1,-3,-6,98,1011,6,0.00
2012-12-3,-1,-2,-3,97,1009,11,0.00
2012-12-4,1,-2,-4,95,1000,8,0.00
2012-12-5,1,-1,-3,91,999,11,0.00
2012-12-6,0,-5,-10,94,1006,8,0.00
2012-12-7,-4,-10,-15,94,1011,16,0.00
2012-12-8,-5,-11,-18,94,1017,2,0.00
2012-12-9,-8,-13,-18,97,1016,3,0.00
2012-12-10,-2,-6,-10,100,1005,5,0.00
2012-12-11,-3,-6,-7,98,1012,6,0.00
2012-12-12,-4,-7,-8,99,1017,14,0.00
2012-12-13,-4,-8,-11,93,1018,6,0.00
2012-12-14,0,-4,-9,88,1015,10,0.00
2012-12-15,5,1,-2,94,1008,10,0.00
2012-12-16,5,4,3,98,1009,11,0.00
2012-12-17,6,4,3,95,1010,8,0.00
2012-12-18,4,3,2,98,1013,5,0.00
2012-12-19,2,0,-1,99,1021,6,0.00
2012-12-20,-1,-4,-8,94,1022,13,0.00
2012-12-21,-7,-8,-8,97,1017,10,0.00
2012-12-22,-5,-7,-8,98,1021,6,0.00
2012-12-23,0,-3,-6,98,1014,11,0.00
2012-12-24,5,2,0,98,1010,14,0.00
2012-12-25,5,3,2,89,1007,11,0.00
2012-12-26,6,6,5,85,1010,16,0.00
2012-12-27,7,4,2,85,1008,18,0.00
2012-12-28,5,-1,-7,89,1021,13,0.00
2012-12-29,1,-4,-9,83,1026,6,0.00
2012-12-30,4,0,-4,70,1019,13,0.00
2012-12-31,6,3,0,78,1019,14,0.00
2013-1-1,7,3,0,67,1011,10,0.00
2013-1-2,1,0,-1,92,1019,14,0.00
2013-1-3,6,2,0,94,1023,19,0.00
2013-1-4,6,4,3,88,1020,27,0.00
2013-1-5,6,3,0,86,1019,21,0.00
2013-1-6,0,-1,-1,94,1019,11,0.00
2013-1-7,-1,-3,-6,94,1025,6,0.00
2013-1-8,-2,-6,-9,92,1023,5,0.00
2013-1-9,1,-1,-2,100,1018,8,0.00
2013-1-10,2,1,0,95,1005,19,0.00
2013-1-11,0,-2,-3,95,1006,14,0.00
2013-1-12,-3,-4,-6,96,1012,21,0.00
2013-1-13,-5,-8,-10,96,1018,6,0.00
2013-1-14,-3,-7,-11,95,1015,13,0.00
2013-1-15,0,-2,-3,99,1010,5,0.00
2013-1-16,0,-2,-3,100,1005,8,0.00
2013-1-17,-3,-4,-6,100,1008,13,0.00
2013-1-18,-6,-7,-7,99,1009,14,0.00
2013-1-19,-7,-8,-9,99,1001,11,0.00
2013-1-20,-4,-7,-8,99,1000,5,0.00
2013-1-21,-4,-6,-7,99,998,14,0.00
2013-1-22,-7,-8,-8,99,1003,6,0.00
2013-1-23,-7,-8,-9,97,1007,5,0.00
2013-1-24,-3,-6,-8,94,1010,5,0.00
2013-1-25,-6,-7,-8,94,1017,13,0.00
2013-1-26,-8,-10,-12,93,1016,16,0.00
2013-1-27,-5,-9,-13,94,1011,6,0.00
2013-1-28,0,-3,-7,98,1012,10,0.00
2013-1-29,3,0,-2,94,1012,14,0.00
2013-1-30,6,3,2,98,1007,14,0.00
2013-1-31,7,4,2,77,1007,26,0.00
2013-2-1,6,4,2,77,1003,23,0.00
2013-2-2,4,2,1,97,992,14,0.00
2013-2-3,1,-1,-3,97,1007,18,0.00
2013-2-4,3,0,-2,90,1005,16,0.00
2013-2-5,5,3,2,89,1002,16,0.00
2013-2-6,3,0,-3,98,999,6,0.00
2013-2-7,-1,-3,-4,99,1003,8,0.00
2013-2-8,0,-2,-4,89,1009,10,0.00
2013-2-9,0,-3,-6,91,1014,5,0.00
2013-2-10,-2,-3,-4,92,1014,10,0.00
2013-2-11,0,-2,-4,84,1011,11,0.00
2013-2-12,-1,-4,-7,84,1011,10,0.00
2013-2-13,0,-1,-2,91,1018,6,0.00
2013-2-14,0,-1,-2,98,1022,8,0.00
2013-2-15,2,1,0,97,1018,8,0.00
2013-2-16,1,0,0,97,1021,3,0.00
2013-2-17,0,-1,-2,92,1023,8,0.00
2013-2-18,-2,-3,-4,91,1020,8,0.00
2013-2-19,0,-2,-3,95,1009,14,0.00
2013-2-20,-2,-4,-6,93,1012,16,0.00
2013-2-21,-5,-7,-8,90,1017,10,0.00
2013-2-22,-3,-6,-7,91,1013,16,0.00
2013-2-23,1,-2,-4,97,1009,14,0.00
2013-2-24,5,3,1,89,1012,16,0.00
2013-2-25,4,2,0,91,1020,13,0.00
2013-2-26,2,1,0,98,1026,10,0.00
2013-2-27,6,3,1,88,1028,13,0.00
2013-2-28,6,3,0,80,1024,6,0.00
2013-3-1,2,1,0,90,1017,19,0.00
2013-3-2,4,1,-2,78,1019,16,0.00
2013-3-3,2,0,-2,81,1016,19,0.00
2013-3-4,6,1,-4,74,1023,8,0.00
2013-3-5,11,2,-7,47,1020,8,0.00
2013-3-6,14,6,-3,49,1009,10,0.00
2013-3-7,11,7,3,83,1004,10,0.00
2013-3-8,6,3,0,98,1005,19,0.00
2013-3-9,0,-1,-1,99,1004,11,0.00
2013-3-10,1,0,-1,99,1000,11,0.00
2013-3-11,2,-1,-4,96,1000,11,0.00
2013-3-12,-2,-3,-5,89,1002,8,0.00
2013-3-13,-2,-3,-4,91,1000,10,0.00
2013-3-14,-4,-6,-6,84,1004,14,0.00
2013-3-15,-2,-4,-6,69,1006,24,0.00
2013-3-16,-1,-6,-11,71,1017,11,0.00
2013-3-17,2,-6,-13,58,1016,11,0.00
2013-3-18,3,-1,-4,72,1003,19,0.00
2013-3-19,2,0,-1,95,993,18,0.00
2013-3-20,6,2,-2,83,1005,10,0.00
2013-3-21,3,0,-3,94,1010,10,0.00
2013-3-22,-1,-3,-6,88,1015,19,0.00
2013-3-23,-7,-11,-14,70,1022,14,0.00
2013-3-24,-4,-11,-18,71,1023,8,0.00
2013-3-25,-2,-7,-12,69,1018,18,0.00
2013-3-26,-2,-4,-6,58,1012,23,0.00
2013-3-27,0,-2,-5,67,1013,23,0.00
2013-3-28,3,-1,-5,74,1014,16,0.00
2013-3-29,3,0,-2,91,1006,11,0.00
2013-3-30,5,1,-3,72,1005,8,0.00
2013-3-31,0,-1,-2,94,1003,14,0.00
2013-4-1,0,-2,-4,89,1006,21,0.00
2013-4-2,2,-4,-10,83,1013,8,0.00
2013-4-3,0,-1,-2,93,1011,21,0.00
2013-4-4,1,0,-1,96,1009,10,0.00
2013-4-5,4,2,0,90,1008,6,0.00
2013-4-6,2,1,0,92,1013,10,0.00
2013-4-7,4,0,-3,74,1017,8,0.00
